詞性 (Part of Speech),單字 (Word),中文解釋 (Meaning),生動例句 (Vivid & Engaging Sentence)
=== 1. 自我認識 ===,,,
Noun,age,年齡,My age is six years old today.
Verb,am,是 (I專用),I am a space kid flying to stars.
Verb,are,是 (You/We/They專用),You are my best friend at school.
Pronoun,I,我,I draw a happy sun with crayons.
Verb,is,是 (He/She/It專用),The frog is green and jumps high.
Verb,is,是 (單數),This moment is full of fun right now.
Pronoun,me,我 (受格),The puppy follows me to the school.
Pronoun,mine,我的東西,That shiny red bike is all mine.
Determiner,my,我的,My toy car goes vroom vroom fast.
Noun,name,名字,My name is on my red backpack.
Determiner,our,我們的,Our kite dances high in the wind.
Pronoun,ours,我們的東西,This cozy fort is ours to play.
Pronoun,us,我們 (受格),Grandma reads a story to us now.
Pronoun,we,我們,We build a rocket from a box.
Pronoun,you,你,You can make a rocket from a box.
Pronoun,your,你的,What is your favorite color to see?
Pronoun,yours,你的東西,Is this blue pencil yours that I found?
Pronoun,yourself,你自己,You can do it all by yourself.
=== 10. 家與房間 ===,,,
Noun,attic,閣樓,The attic is full of mysterious old things.
Noun,basement,地下室,We store old toys in the dark basement.
Noun,bathroom,浴室,I wash my hands in the clean bathroom.
Noun,bedroom,臥室,My bedroom is my own special cozy space.
Noun,ceiling,天花板,I imagine the ceiling is the floor turned upside down.
Noun,chimney,煙囪,Smoke comes out of the tall brick chimney.
Noun,door,門,The door opens to our fun games.
Noun,driveway,車道,I draw with chalk on our long driveway.
Noun,fence,柵欄,The white fence goes around our whole yard.
Noun,floor,地板,The floor is where adventures begin when you get up.
Noun,garage,車庫,Dad parks the car in the big garage.
Noun,gate,大門/柵門,The garden gate creaks when it opens wide.
Noun,home,家,Home is where we read together warmly.
Noun,house,房子,Our house smells like fresh warm cookies.
Noun,living room,客廳,We watch movies together in the living room.
Noun,mailbox,信箱,The mailman puts letters in our red mailbox.
Noun,porch,門廊,We sit on the porch and watch the sunset.
Noun,roof,屋頂,The roof is our umbrella when the clouds cry.
Noun,room,房間,My room has glowing stars on the wall.
Noun,stairs,樓梯,I climb the stairs one step at a time.
Noun,wall,牆,Walls protect us but also hold echoes of laughter.
Noun,window,窗戶,I watch the rain dance on the window.
Noun,yard,院子/碼,We play in the yard behind the house.
=== 11. 家具與物品 ===,,,
Noun,alarm,鬧鐘,The loud alarm wakes me up for school.
Noun,bag,袋子,My bag holds snacks and little toy cars.
Noun,bed,床,My bed is a soft fluffy cloud.
Noun,bell,鈴鐺/鐘,The bell rings when school starts now.
Noun,bell,鐘/鈴,The school bell rings at three o'clock.
Noun,blanket,毯子,My warm blanket keeps me cozy at night.
Noun,box,盒子,The box turns into my rocket ship.
Noun,chair,椅子,This chair is my reading spot at home.
Noun,clock,時鐘,The clock shows it is time to eat.
Noun,key,鑰匙,The magic key unlocks doors to rooms filled with surprises!
Noun,light,燈/光,The night light keeps monsters far away.
Adjective,light,輕的,The feather is light like the air.
Noun,light,光線,Light travels from stars that might not exist.
Adjective,also,也,The moon is beautiful and the stars are too.
Noun,lock,鎖,The old lock guards secrets like a tiny metal soldier.
Noun,mirror,鏡子,I see my smiling face in the mirror.
Noun,pillow,枕頭,I rest my head on my soft pillow.
Noun,pocket,口袋,My pocket holds a shiny rock I found.
Noun,table,桌子,We build a tent under the table.
=== 12. 玩具與遊戲 ===,,,
Noun,ball,球,The ball bounces high then bounces low.
Noun,balloon,氣球,The balloon floats to the tall ceiling.
Noun,bike,腳踏車,I ride my bike in big circles around the yard.
Noun,doll,洋娃娃,My doll has a pretty pink dress.
Noun,fun,樂趣,Building sandcastles is pure fun under the warm sun.
Noun,game,遊戲,"This game turns everyone into giggly, silly monsters laughing!"
Noun,kite,風箏,My kite flies high and bright in the sky.
Noun,play,玩樂/遊戲,Play time starts right after lunch today.
Verb,play,玩,We play tag under the big trees.
Noun,scooter,滑板車,I zoom on my scooter very fast.
Noun,slide,溜滑梯,I zoom down the slide with my arms up.
Noun,swing,鞦韆,The swing goes high up to the sky.
Noun,toy,玩具,My toy train goes choo-choo loudly.
=== 13. 學校與學習 ===,,,
Noun,art,藝術/美術,Art class is my favorite time at school.
Noun,backpack,背包,My backpack holds all my school things safely.
Noun,book,書,This book takes me to outer space.
Noun,chalk,粉筆,We draw hopscotch with colorful chalk outside today.
Noun,class,班級/課,Our class is like a team of explorers discovering worlds.
Noun,crayon,蠟筆,This crayon is short from lots of use.
Verb,draw,畫,I draw a castle with tall flags.
Noun,draw,畫作,This drawing shows my family as superheroes.
Noun,eraser,橡皮擦,The pink eraser removes my pencil mistakes nicely.
Noun,glue,膠水,The white glue sticks things together so well.
Noun,homework,家庭作業,Homework is like a puzzle that makes your brain grow.
Verb,learn,學習,"When you learn something new, your brain lights up!"
Noun,lesson,課,I always have piano lessons once a week.
Noun,letter,信/字母,I write a letter to my grandma.
Noun,lunchbox,便當盒,My lunchbox has a sandwich and an apple.
Noun,marker,麥克筆,The red marker writes on my white paper.
Noun,music,音樂,The music makes our feet want to move.
Noun,notebook,筆記本,I write my ideas in my special notebook.
Noun,page,頁面,Turn the page to see more fun things.
Verb,paint,塗色/畫圖,We paint stars on the blue wall.
Noun,paint,顏料/油漆,The paint spills create accidental art on the floor.
Noun,paper,紙,The paper becomes a plane so fast.
Noun,pen,筆,My pen writes tiny shiny stars.
Noun,pencil,鉛筆,My pencil needs a sharp good tip.
Verb,read,閱讀,I read a story with my dad.
Noun,ruler,尺,I use a ruler to draw a straight line.
Noun,school,學校,School is a magical place where curiosity grows into knowledge.
Noun,scissors,剪刀,I use safety scissors to cut the paper.
Noun,song,歌,This song makes me sing out loud.
Noun,sticker,貼紙,I get a gold star sticker for being good.
